"Megye kód";"KSH kód";Megye;Település;"Település típusa";"Állandó férfi lakosság összesen";"Állandó női lakosság összesen"
1;09566;BUD;Budapest                 01;fővárosi kerület;11 851;13 898
1;03179;BUD;Budapest                 02;fővárosi kerület;39 520;46 334
1;18069;BUD;Budapest                 03;fővárosi kerület;56 895;66 485
1;05467;BUD;Budapest                 04;fővárosi kerület;42 980;50 422
1;13392;BUD;Budapest                 05;fővárosi kerület;12 142;12 973
1;16586;BUD;Budapest                 06;fővárosi kerület;17 264;18 698
1;29744;BUD;Budapest                 07;fővárosi kerület;23 546;25 658
1;25405;BUD;Budapest                 08;fővárosi kerület;34 451;34 574
1;29586;BUD;Budapest                 09;fővárosi kerület;25 985;27 809
1;10700;BUD;Budapest                 10;fővárosi kerület;32 827;37 136
1;14216;BUD;Budapest                 11;fővárosi kerület;59 881;69 990
1;24697;BUD;Budapest                 12;fővárosi kerület;25 768;30 630
1;24299;BUD;Budapest                 13;fővárosi kerület;54 037;61 267
1;16337;BUD;Budapest                 14;fővárosi kerület;50 195;60 437
1;11314;BUD;Budapest                 15;fővárosi kerület;35 469;40 585
1;08208;BUD;Budapest                 16;fővárosi kerület;34 128;38 573
1;02112;BUD;Budapest                 17;fővárosi kerület;41 003;45 545
1;29285;BUD;Budapest                 18;fővárosi kerület;46 668;52 345
1;04011;BUD;Budapest                 19;fővárosi kerület;26 045;30 030
1;06026;BUD;Budapest                 20;fővárosi kerület;28 925;32 279
1;13189;BUD;Budapest                 21;fővárosi kerület;33 038;37 516
1;10214;BUD;Budapest                 22;fővárosi kerület;26 799;29 078
1;34139;BUD;Budapest                 23;fővárosi kerület;11 080;11 387
3;26684;BAC;Kecskemét;megye székhely;51 628;57 012
3;10719;BAC;Bácsalmás;város;3 120;3 339
3;03522;BAC;Baja;város;16 435;18 513
3;07612;BAC;Dunavecse;város;1 953;2 061
3;18759;BAC;Hajós;város;1 392;1 536
3;21999;BAC;Izsák;város;2 803;3 033
3;09469;BAC;Jánoshalma;város;4 181;4 322
3;06442;BAC;Kalocsa;város;7 292;8 096
3;19789;BAC;Kecel;város;4 120;4 338
3;22530;BAC;Kerekegyháza;város;3 411;3 427
3;09344;BAC;Kiskőrös;város;6 632;7 330
3;20297;BAC;Kiskunfélegyháza;város;14 112;15 391
3;32434;BAC;Kiskunhalas;város;13 134;14 213
3;24396;BAC;Kiskunmajsa;város;5 489;5 921
3;28130;BAC;Kunszentmiklós;város;4 084;4 287
3;17677;BAC;Lajosmizse;város;6 104;6 097
3;16018;BAC;Mélykút;város;2 474;2 572
3;29115;BAC;Solt;város;3 071;3 264
3;19983;BAC;Soltvadkert;város;3 559;3 737
3;25061;BAC;Szabadszállás;város;3 032;3 222
3;30623;BAC;Tiszakécske;város;5 663;5 903
3;28486;BAC;Tompa;város;2 317;2 319
3;10180;BAC;Bácsbokod;nagyközség;1 252;1 293
3;32823;BAC;Bugac;nagyközség;1 350;1 384
3;07861;BAC;Dunapataj;nagyközség;1 573;1 624
3;18458;BAC;Harta;nagyközség;1 619;1 720
3;06202;BAC;Lakitelek;nagyközség;2 461;2 549
3;21245;BAC;Sükösd;nagyközség;1 815;1 851
3;24545;BAC;Tiszaalpár;nagyközség;2 500;2 568
3;17686;BAC;Ágasegyháza;község;1 010;992
3;21944;BAC;Akasztó;község;1 605;1 696
3;21148;BAC;Apostag;község;1 118;1 045
3;27234;BAC;Bácsborsód;község;553;568
3;08697;BAC;Bácsszentgyörgy;község;80;69
3;30155;BAC;Bácsszőlős;község;174;154
3;13408;BAC;Ballószög;község;2 125;2 129
3;25937;BAC;Balotaszállás;község;716;779
3;03656;BAC;Bátmonostor;község;740;759
3;11961;BAC;Bátya;község;1 006;1 007
3;08305;BAC;Bócsa;község;989;957
3;19327;BAC;Borota;község;603;630
3;33631;BAC;Bugacpusztaháza;község;133;130
3;10472;BAC;Császártöltés;község;1 088;1 192
3;26471;BAC;Csátalja;község;726;725
3;16373;BAC;Csávoly;község;855;892
3;12344;BAC;Csengőd;község;1 023;1 135
3;15699;BAC;Csikéria;község;362;403
3;12025;BAC;Csólyospálos;község;813;807
3;10533;BAC;Dávod;község;993;1 044
3;07524;BAC;Drágszél;község;163;161
3;21069;BAC;Dunaegyháza;község;761;737
3;12566;BAC;Dunafalva;község;447;447
3;11606;BAC;Dunaszentbenedek;község;400;402
3;14766;BAC;Dunatetétlen;község;275;279
3;04109;BAC;Dusnok;község;1 456;1 531
3;11864;BAC;Érsekcsanád;község;1 485;1 501
3;33589;BAC;Érsekhalma;község;299;300
3;03230;BAC;Fajsz;község;820;820
3;33598;BAC;Felsőlajos;község;491;459
3;02954;BAC;Felsőszentiván;község;899;973
3;02149;BAC;Foktő;község;748;798
3;31468;BAC;Fülöpháza;község;452;452
3;33622;BAC;Fülöpjakab;község;615;560
3;14058;BAC;Fülöpszállás;község;1 160;1 215
3;31848;BAC;Gara;község;1 055;1 126
3;26383;BAC;Gátér;község;455;450
3;03577;BAC;Géderlak;község;448;506
3;08350;BAC;Harkakötöny;község;386;413
3;04093;BAC;Helvécia;község;2 563;2 515
3;12937;BAC;Hercegszántó;község;948;959
3;27845;BAC;Homokmégy;község;632;646
3;08095;BAC;Imrehegy;község;334;312
3;17923;BAC;Jakabszállás;község;1 338;1 424
3;08378;BAC;Jászszentlászló;község;1 237;1 267
3;30605;BAC;Kaskantyú;község;519;460
3;11280;BAC;Katymár;község;845;911
3;27571;BAC;Kelebia;község;1 260;1 276
3;18166;BAC;Kéleshalom;község;227;217
3;28158;BAC;Kisszállás;község;1 189;1 196
3;13806;BAC;Kömpöc;község;335;370
3;05856;BAC;Kunadacs;község;729;711
3;06044;BAC;Kunbaja;község;715;759
3;07728;BAC;Kunbaracs;község;316;368
3;29027;BAC;Kunfehértó;község;1 117;1 159
3;31918;BAC;Kunpeszér;község;360;359
3;31893;BAC;Kunszállás;község;864;918
3;05786;BAC;Ladánybene;község;896;846
3;23357;BAC;Madaras;község;1 376;1 431
3;27809;BAC;Mátételke;község;256;251
3;30632;BAC;Miske;község;879;896
3;34096;BAC;Móricgát;község;237;242
3;25955;BAC;Nagybaracska;község;1 111;1 126
3;32540;BAC;Nemesnádudvar;község;891;889
3;23056;BAC;Nyárlőrinc;község;1 170;1 165
3;16276;BAC;Ordas;község;212;235
3;16939;BAC;Orgovány;község;1 654;1 770
3;08679;BAC;Öregcsertő;község;384;373
3;18670;BAC;Páhi;község;587;565
3;02705;BAC;Pálmonostora;község;915;910
3;15431;BAC;Petőfiszállás;község;774;753
3;15398;BAC;Pirtó;község;475;456
3;26310;BAC;Rém;község;633;648
3;18218;BAC;Soltszentimre;község;673;663
3;19530;BAC;Szakmár;község;627;590
3;19947;BAC;Szalkszentmárton;község;1 461;1 454
3;11794;BAC;Szank;község;1 169;1 188
3;21120;BAC;Szentkirály;község;973;948
3;28820;BAC;Szeremle;község;699;693
3;25432;BAC;Tabdi;község;535;527
3;20525;BAC;Tass;község;1 483;1 484
3;14544;BAC;Tataháza;község;573;604
3;24998;BAC;Tázlár;község;873;868
3;14094;BAC;Tiszaug;község;465;472
3;08785;BAC;Újsolt;község;96;81
3;33604;BAC;Újtelek;község;199;194
3;16294;BAC;Uszód;község;449;489
3;10667;BAC;Városföld;község;1 108;1 204
3;28343;BAC;Vaskút;község;1 665;1 773
3;15158;BAC;Zsana;község;367;354
2;19415;BAR;Pécs;megye székhely;66 686;76 829
2;33154;BAR;Bóly;város;1 801;1 919
2;21528;BAR;Harkány;város;2 514;2 768
2;26408;BAR;Komló;város;11 450;12 526
2;06336;BAR;Kozármisleny;város;3 362;3 446
2;06813;BAR;Mágocs;város;1 142;1 138
2;23959;BAR;Mohács;város;8 717;9 642
2;10825;BAR;Pécsvárad;város;1 942;2 071
2;32160;BAR;Sásd;város;1 480;1 561
2;28741;BAR;Sellye;város;1 278;1 356
2;05519;BAR;Siklós;város;4 399;5 002
2;15866;BAR;Szentlőrinc;város;3 026;3 300
2;26578;BAR;Szigetvár;város;4 776;5 261
2;28024;BAR;Villány;város;1 070;1 143
2;31927;BAR;Beremend;nagyközség;1 133;1 223
2;33765;BAR;Szászvár;nagyközség;1 144;1 200
2;28538;BAR;Vajszló;nagyközség;838;910
2;12548;BAR;Abaliget;község;363;326
2;06868;BAR;Adorjás;község;88;87
2;25812;BAR;Ág;község;95;90
